,state,state_code,constituency,constituency_code,candidate_name,party,evm_votes,postal_votes,total_votes,percent_of_votes,migrant_votes
0,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,AYAN MANDAL,All India Trinamool Congress,1717,4,1721,0.83,0
1,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,KULDEEP RAI SHARMA,Indian National Congress,95249,59,95308,45.98,0
2,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,PRAKASH MINJ,Bahujan Samaj Party,2478,8,2486,1.2,0
3,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,VISHAL JOLLY,Bharatiya Janata Party,93772,129,93901,45.3,0
4,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,SANJAY MESHACK,Aam Aadmi Party,2837,2,2839,1.37,0
5,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,C G SAJI KUMAR,All India Hindustan Congress Party,212,0,212,0.1,0
6,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,K KALIMUTHU,Independent,269,6,275,0.13,0
7,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,V V KHALID,Independent,305,1,306,0.15,0
8,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,GOUR CHANDRA MAJUMDER,Independent,221,0,221,0.11,0
9,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,PARITOSH KUMAR HALDAR,Independent,5339,2,5341,2.58,0
10,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,MINATI BISWAS,Independent,615,3,618,0.3,0
11,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,C U RASHEED,Independent,272,1,273,0.13,0
12,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,K VENKAT RAM BABU,Independent,914,0,914,0.44,0
13,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,S SUDERSHAN RAO,Independent,475,0,475,0.23,0
14,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,HENRY,Independent,994,0,994,0.48,0
15,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,NOTA,None of the Above,1411,1,1412,0.68,0
16,Andhra Pradesh,S01,Amalapuram,7,AYYAJI VEMA MANEPALLI,Bharatiya Janata Party,11358,158,11516,0.94,0
17,Andhra Pradesh,S01,Amalapuram,7,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,442774,2573,445347,36.18,0
18,Andhra Pradesh,S01,Amalapuram,7,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,481358,3955,485313,39.43,0
19,Andhra Pradesh,S01,Amalapuram,7,JANGA GOUTHAM,Indian National Congress,7840,38,7878,0.64,0
20,Andhra Pradesh,S01,Amalapuram,7,CHELLE RAJANI,Jana Jagruti Party,1228,0,1228,0.1,0
21,Andhra Pradesh,S01,Amalapuram,7,PANTHAGADA VIJAYA CHAKRAVARTHY,Republican Party of India (Khobragade),1801,0,1801,0.15,0
22,Andhra Pradesh,S01,Amalapuram,7,MURALIKRISHNA KANDERI,India Praja Bandhu Party,1801,1,1802,0.15,0
23,Andhra Pradesh,S01,Amalapuram,7,MORTHA SIVA RAMA KRISHNA,Pyramid Party of India,1946,4,1950,0.16,0
24,Andhra Pradesh,S01,Amalapuram,7,D M R SEKHAR,Janasena Party,253271,1577,254848,20.7,0
25,Andhra Pradesh,S01,Amalapuram,7,REVU SUDHAKAR,Independent,2770,1,2771,0.23,0
26,Andhra Pradesh,S01,Amalapuram,7,NOTA,None of the Above,16408,41,16449,1.34,0
